place_id,name,address,lat,lng,website,google_maps_url,primary_type,business_status,neighbourhood
ChIJ9emgfTZ1hlQRRUCs6rHblkM,Breka Bakery & Café - Main st,"4554 Main St, Vancouver, BC V5V 3R5, Canada",49.2438398,-123.1009639,http://www.breka.ca/,https://maps.google.com/?cid=4870321604240621637&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,bakery,OPERATIONAL,Main Street
ChIJn-m1c5lzhlQRzCO9ALp_kFA,Slo Coffee Fraser St.,"4160 Fraser St, Vancouver, BC V5V 4E8, Canada",49.2480315,-123.0899822,http://www.slocoffee.ca/,https://maps.google.com/?cid=5805280356533609420&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop,OPERATIONAL,Main Street
ChIJO5zViwd0hlQRAFFNbhunA8Q,Le Marché St. George,"4393 St George St, Vancouver, BC V5V 4A3, Canada",49.2457667,-123.0944347,http://www.marchestgeorge.com/,https://maps.google.com/?cid=14124316592620523776&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Main Street
ChIJR7sAXvdzhlQRSt1ypOZngjM,Aperture Coffee Bar,"4124 Main St, Vancouver, BC V5V 3P7, Canada",49.2484508,-123.1008973,http://www.aperturecoffeebar.com/,https://maps.google.com/?cid=3711643283205840202&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Main Street
ChIJ7yPsb0ZzhlQRNImVVhLe8tE,Thierry Mount Pleasant,"265 E 10th Ave, Vancouver, BC V5T 4V1, Canada",49.2620964,-123.099849,https://www.thierrychocolates.com/?utm_source=GoogleBusinessProfile&utm_medium=Website&utm_campaign=MapLabs,https://maps.google.com/?cid=15128398268634335540&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Main Street
ChIJL7wlu-NzhlQR_WJtTl2Njvw,49th Parallel Café & Lucky's Doughnuts - Main Street,"2902 Main St, Vancouver, BC V5T 3G3, Canada",49.2591539,-123.1007927,http://luckysdoughnuts.com/,https://maps.google.com/?cid=18198638576138019581&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Main Street
ChIJsfgDqXtzhlQROoYf0PVhqPw,Forecast Coffee,"2980 Main St, Vancouver, BC V5T 3G3, Canada",49.2584876,-123.1009593,http://forecastcoffee.ca/,https://maps.google.com/?cid=18205909202031838778&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,coffee_shop,OPERATIONAL,Main Street
ChIJfdqU3u5zhlQRuyU2sQvVfWY,Café Gloucester,"3338 Cambie St., Vancouver, BC V5Z 2W5, Canada",49.2555312,-123.1149542,http://www.cafegloucester.ca/,https://maps.google.com/?cid=7385293210151953851&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,chinese_restaurant,OPERATIONAL,Main Street
ChIJrZUaoOFzhlQRm9cwZS-mgso,The Federal Store Luncheonette & Grocer,"2601 Quebec St, Vancouver, BC V5T 3A6, Canada",49.2619028,-123.1032786,http://federalstore.ca/,https://maps.google.com/?cid=14592408465125201819&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Main Street
ChIJyzUSdeNzhlQRkz3zRrw73Ow,JJ Bean Coffee Roasters,"3010 Main St, Vancouver, BC V5T 3G5, Canada",49.258272,-123.1009,https://jjbeancoffee.com/,https://maps.google.com/?cid=17067582367657573779&g_mp=Cilnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaE5lYXJieRACGAQgAA,cafe,OPERATIONAL,Main Street
